EVENT_ID,median_income,population_density,housing_units_density,duration,weekend,sin_time,cos_time,sin_date,cos_date,tornado_intensity,tornado_area,average_range,minimum_range,average_latitude,average_longitude,percent_land,multi_vortex
771186,57607.0,670.2,337.4,0.0,0.0,-0.30070579950427306,-0.9537169507482268,0.3131070409358269,-0.9497178427914316,0.0,0.0,1.0,1.0,26.8496,-80.6396,0.8265848653593564,0.0
620651,74212.0,248.5,103.2,1.0,0.0,0.8746197071393957,0.4848096202463371,0.8115390590073609,0.5842981736283684,0.0,80.0,3.0,3.0,33.1634,-86.65899999999998,0.969611997084728,0.0
695248,36037.0,25.2,12.6,4.0,1.0,0.10886687485196456,0.9940563382223196,0.8800122039735357,-0.47495107206705,0.0,200.0,1.5,1.0,36.3979,-90.6993,0.9969131953105512,0.0
650835,65021.0,14.3,6.3,1.0,1.0,0.9883615104677608,-0.1521233861899167,-0.14579919691987442,-0.9893142039703664,0.0,0.0,3.0,3.0,46.4899,-101.2507,0.9901410984605103,0.0
359467,36976.0,46.6,22.1,1.0,0.0,-0.9972501850994856,0.07410849019539888,0.8758917051442429,0.4825077417612185,0.0,0.0,0.5,0.0,31.1273,-85.66845,0.9921582174626478,0.0
227926,44000.0,1.3,0.9,5.0,1.0,-0.9238795325112866,0.38268343236509,0.6287628145958344,-0.777597146973627,0.0,50.0,6.0,5.0,36.53615,-102.8829,0.9966592246141812,0.0
157859,33107.0,10.1,5.7,1.0,0.0,-0.928809552871924,0.3705574375098364,0.8717063187093219,-0.4900286664290592,0.0,0.0,2.0,2.0,35.80280000000001,-93.35055,0.9972181391902232,0.0
195951,49473.03165642418,170.1744019481447,73.23561810628874,3.0,0.0,0.6691306063588583,-0.743144825477394,-0.989932495087353,0.141540295217043,0.0,0.0,4.5,4.0,32.748999999999995,-92.2583,0.9636738180410184,0.0
282678,35322.0,32.1,15.1,1.0,0.0,0.7986355100472927,-0.6018150231520484,0.9988797155850336,-0.04732138832243185,0.0,0.0,2.0,2.0,33.2795,-93.3755,0.9990870557548092,0.0
457698,46961.0,9.2,4.2,12.0,1.0,-0.9772311064626787,0.21217767215644606,0.6932812268869777,-0.7206671495538609,0.0,400.0,3.0,3.0,38.21345,-99.29775,0.9994832041343671,0.0
629692,52186.0,20.4,9.2,1.0,0.0,-0.7009092642998509,-0.7132504491541816,0.9033558023246844,-0.4288919379124835,0.0,50.0,3.5,3.0,37.2467,-97.6052,0.9974598084307356,0.0
203446,49473.03165642418,170.1744019481447,73.23561810628874,18.0,0.0,-0.9986295347545738,-0.05233595624294431,0.3375228995941133,0.9413173175128472,0.0,1200.0,4.0,4.0,31.78595,-93.23035,0.9636738180410184,0.0
698232,35542.0,31.2,13.3,2.0,0.0,-0.484809620246337,-0.8746197071393959,0.9995462806873572,-0.030120304846908117,0.0,0.0,2.0,2.0,33.0518,-82.75045,0.9913641942837104,0.0
720699,46097.0,38.0,15.8,3.0,1.0,-0.9117620435770888,-0.4107188526134769,-0.8165380514459157,-0.5772916165517278,0.0,0.0,1.5,1.0,29.5469,-96.08725,0.9924888291893968,0.0
83587,58920.0,27.2,12.5,3.0,0.0,-0.9381913359224844,0.3461170570774922,0.9175836260593936,-0.397542814282556,0.0,50.0,1.5,1.0,42.485,-93.695,0.9986840054717668,0.0
234280,58311.0,135.0,59.9,2.0,1.0,-0.7313537016191701,-0.6819983600624989,-0.2802306751992161,-0.9599326896597444,0.0,0.0,1.0,1.0,42.74105,-85.56845,0.4501360941258612,0.0
639147,49850.0,70.7,31.3,1.0,0.0,0.6946583704589971,-0.7193398003386512,0.5012418134457758,-0.8653072543632059,0.0,0.0,3.0,3.0,41.8866,-90.31775,0.9784984088540932,0.0
647811,47589.0,26.6,12.0,3.0,0.0,-0.6691306063588581,0.7431448254773942,0.1457991969198751,-0.9893142039703664,0.0,50.0,2.5,2.0,40.91575,-87.97534999999998,0.9985611253608356,0.0
710165,41128.0,2.2,1.2,5.0,0.0,-0.9238795325112866,0.38268343236509,0.3294084822245304,-0.9441875088341992,0.0,90.0,5.0,5.0,42.08,-102.67,0.9882824520204064,0.0
756353,45907.0,32.3,14.2,2.0,0.0,-0.7283709698824004,0.6851829903263591,0.741222010848596,-0.6712599575675313,0.0,0.0,4.0,4.0,37.28725,-96.9163,0.9941011806469272,0.0
